,count,mean,std,min,25%,50%,75%,max
2534,57268.0,28.566678525522377,9.234711990634697,-0.6396300000000003,22.079024999999998,28.068914999999997,34.3072275,62.61155000000001
2536,57268.0,28.461084799850745,9.15322909038504,-0.6899100000000004,22.037135000000003,28.01141499999999,34.14850249999999,62.05985
2538,57268.0,28.364748511343283,9.084732804089668,-0.7346999999999999,21.997140000000005,27.955240000000003,34.00469750000002,61.65228000000001
2540,57268.0,28.288333153283578,9.03480558988156,-0.7703199999999997,21.964712500000008,27.904570000000007,33.89248499999999,61.367149999999995
2542,57268.0,28.236200125970147,9.003293710905101,-0.7970399999999995,21.941075,27.868235,33.814485,61.19964
2544,57268.0,28.202159431194037,8.983829816720966,-0.8162199999999998,21.92338,27.846730000000008,33.765525,61.097130000000014
2546,57268.0,28.17574979716418,8.968783447403423,-0.8344500000000004,21.911642500000003,27.827845000000007,33.730450000000005,61.01967999999999
2548,57268.0,28.1506642535821,8.953975772829944,-0.8514800000000002,21.901995000000003,27.80744,33.6947775,60.93215
2550,57268.0,28.112318729253733,8.93043093561803,-0.8738299999999996,21.888985000000005,27.779995,33.63391250000001,60.76503
2552,57268.0,28.092143300895522,8.916934405207897,-0.8830299999999999,21.886200000000002,27.762035000000004,33.59792500000001,60.65226
2554,57268.0,28.066584164029848,8.900130860845843,-0.8929199999999999,21.87614249999999,27.739594999999998,33.55912250000001,60.510860000000015
2556,57268.0,28.04052069731343,8.883275378102184,-0.9015999999999997,21.869225,27.72101,33.5147975,60.379740000000005
2558,57268.0,28.013599507611936,8.866676702149798,-0.9084400000000001,21.860787500000004,27.704769999999996,33.459215,60.262310000000014
2560,57268.0,27.988306027462688,8.851704060116866,-0.9129199999999996,21.853847499999997,27.68303999999999,33.40757,60.208210000000015
2562,57268.0,27.966249890000007,8.838958137499032,-0.9148699999999999,21.847905,27.653025,33.36170750000001,60.17913999999998
2564,57268.0,27.94898873149254,8.828664136289092,-0.9135299999999995,21.845702499999998,27.636224999999996,33.321382500000006,60.16286000000001
2566,57268.0,27.937975407313427,8.820816816772005,-0.90852,21.8467575,27.627229999999997,33.291889999999995,60.14984999999999
2568,57268.0,27.934144665074623,8.815224098005915,-0.9010899999999995,21.8464225,27.623165000000007,33.271427499999994,60.14062
2570,57268.0,27.93679162537314,8.811471335865116,-0.89023,21.852712500000003,27.62831499999999,33.26907249999999,60.13643000000002
2572,57268.0,27.944440030298512,8.808795881679034,-0.8756599999999999,21.8591075,27.636234999999996,33.2745,60.13719000000001
2574,57268.0,27.95298723313432,8.807045142524759,-0.861790000000001,21.865539999999996,27.64410499999999,33.280570000000004,60.139490000000016
2576,57268.0,27.96603143761194,8.8040821839011,-0.8377400000000003,21.879217499999992,27.653729999999992,33.2914725,60.14514999999999
2578,57268.0,27.975263560298515,8.802469743111981,-0.8213300000000002,21.889464999999998,27.662434999999995,33.29637,60.152350000000006
2580,57268.0,27.984311169253736,8.80137436295936,-0.8078399999999993,21.902515,27.669995,33.299037500000004,60.16254999999998
2582,57268.0,27.993223698358207,8.800831336032934,-0.7971999999999997,21.912150000000008,27.677504999999996,33.30054749999999,60.17504
2584,57268.0,28.000958862089554,8.800575235032468,-0.7901699999999997,21.923054999999994,27.683499999999995,33.30124749999999,60.18751
2586,57268.0,28.006490108507467,8.800511127743347,-0.78687,21.933177500000006,27.688739999999996,33.296809999999994,60.19763999999998
2588,57268.0,28.008785922537317,8.80063340837641,-0.7868600000000003,21.937979999999992,27.687355000000004,33.29591,60.207639999999984
2590,57268.0,28.006925690746257,8.800985948504868,-0.7905000000000002,21.941837499999995,27.686380000000003,33.294785000000005,60.21726000000002
2592,57268.0,28.00075129970149,8.801980425597035,-0.7978199999999999,21.9360525,27.675225,33.28311000000001,60.22604000000001
2594,57268.0,27.990922480746274,8.804070680694831,-0.8072199999999997,21.929295000000003,27.65542499999999,33.271137499999995,60.235170000000004
2596,57268.0,27.979384133283574,8.807586602365742,-0.8193700000000007,21.91304,27.637534999999996,33.247142499999995,60.24444999999999
2598,57268.0,27.968538421044766,8.812243800711428,-0.8334600000000002,21.9003875,27.62418,33.234697499999996,60.255419999999994
2600,57268.0,27.960773985671654,8.817381405410616,-0.8459399999999991,21.8894825,27.609609999999996,33.22324499999999,60.26785000000002
2602,57268.0,27.956624932985076,8.821911877025455,-0.8572600000000002,21.889127500000004,27.594164999999997,33.220582500000006,60.28213999999999
2604,57268.0,27.953271377014925,8.826290216701771,-0.8737899999999997,21.8873775,27.588905,33.21545000000001,60.297749999999986
2606,57268.0,27.952906552985077,8.827254420298651,-0.88368,21.887750000000004,27.5886,33.21270499999999,60.30437000000001
2608,57268.0,27.95143248149254,8.82867931611535,-0.8961499999999999,21.8865225,27.590869999999995,33.21650749999999,60.31403000000001
2610,57268.0,27.95089114179104,8.830360314531621,-0.9082600000000008,21.890014999999995,27.592019999999998,33.2095325,60.323339999999995
2612,57268.0,27.952751860746268,8.832855343157735,-0.9190799999999999,21.886397500000005,27.59452,33.199144999999994,60.333850000000005
2614,57268.0,27.9582121241791,8.836261375354805,-0.9278700000000002,21.8887425,27.602219999999996,33.20218250000001,60.35250000000002
2616,57268.0,27.967555646865673,8.840470398307382,-0.9348000000000005,21.898605,27.613969999999995,33.2019425,60.38706
2618,57268.0,27.981026103582096,8.845643876961676,-0.93989,21.906014999999996,27.629725,33.215,60.432539999999996
2620,57268.0,27.997848802985075,8.85187282352787,-0.94239,21.916002499999998,27.648789999999998,33.24038250000001,60.48372000000001
2622,57268.0,28.01603202402985,8.859167524295788,-0.9419900000000002,21.929434999999998,27.669759999999997,33.2579825,60.5368
2624,57268.0,28.033144114328355,8.867405175826027,-0.9406000000000001,21.93912,27.685320000000004,33.27560249999999,60.588930000000005
2626,57268.0,28.046768880149244,8.87740362799493,-0.9422400000000001,21.942437500000004,27.698820000000005,33.2970325,60.64109
2628,57268.0,28.05590913746268,8.886959729645131,-0.9456400000000001,21.942892500000003,27.70038499999999,33.30879999999999,60.684119999999986
2630,57268.0,28.053852271492534,8.90542398773015,-0.9650600000000001,21.9248075,27.684235,33.3095025,60.753180000000015
